1985	163	163	163
1986	164	164	164
1987	164	164	164
1988	165	165	165
1989	165	165	165
1990	166	166	166
1991	165	165	165
1992	166	166	166
1993	166	166	166
1994	166	166	166
1995	166	166	166
1996	164	164	164
1997	166	166	166
1998	166	166	166
1999	166	166	166
2000	166	166	166
2001	164	164	164
2002	161	161	161
2003	160	160	160
2004	161	161	161
2005	160	160	160
2006	160	160	160
2007	157	157	157
2008	159	159	159
2009	156	156	156
2010	152	152	152
2011	152	152	152
2012	149	149	149
2013	145	145	145
2014	139	139	139
